name,amenity,healthcare,speciality,addr:full,addr:city,latitude,longitude,capacity
Alpro,pharmacy,pharmacy,general,Unknown,Port Dickson,2.5238651,101.8017959,0.0
Klinik Pergigian Lim,other,dentist,general,Unknown,Port Dickson,2.523258,101.7962059,0.0
Ang Kelinik,other,doctor,general,Unknown,Port Dickson,2.5222857,101.7962529,0.0
Klinik Asia,other,doctor,general,Unknown,Port Dickson,2.5244102,101.7962273,0.0
PATHLAB Laboratory,other,laboratory,general,Unknown,Unknown,3.1327538,101.6713954,0.0
Kedai Ubat Ban San Hoe,other,alternative,traditional_chinese_medicine,Unknown,Unknown,5.4305732,100.3125801,0.0
Pusat Pakar Mata Bangi,other,optometrist,general,Unknown,Bandar Baru Bangi,2.9651731,101.7793592,0.0
Guardian,pharmacy,pharmacy,general,Unknown,Miri,4.4154491,114.0128354,0.0
U.n.i. Farmasi,pharmacy,pharmacy,general,Unknown,Unknown,2.8007147,101.6562985,0.0
Guardian,pharmacy,pharmacy,general,Unknown,Unknown,4.8526707,100.7421532,0.0
Hospital Beaufort,hospital,hospital,general,Unknown,Unknown,5.3509606,115.7405925,0.0
Multicare Pharmacy,pharmacy,pharmacy,general,Unknown,Seremban,2.6986028,101.9117923,0.0
i-Health Pharmacy Sdn. Bhd.,pharmacy,pharmacy,general,Unknown,Unknown,4.5775021,101.1284974,0.0
Poliklinik Taqwa,clinic,clinic,general,Unknown,Unknown,4.5787558,101.1275591,0.0
Poliklinik Ar-Ridzuan,clinic,clinic,general,Unknown,Unknown,4.5791577,101.1275605,0.0
Poliklinik Teoh & Ding,clinic,clinic,general,Unknown,Unknown,4.5774851,101.1303701,0.0
Mediklinik Keluarga,clinic,clinic,general,Unknown,Unknown,4.5775052,101.1313909,0.0
Klinik Desa Separap,other,doctor,general,Unknown,Unknown,1.9099433,102.8673381,0.0
Klinik Desa Sarang Buaya,clinic,clinic,general,Unknown,Unknown,1.8918785,102.7671097,0.0
Klinik Kesihatan Kangar,clinic,clinic,general,Unknown,Unknown,6.4398406,100.1904707,0.0
Georgetown Pharmacy,pharmacy,pharmacy,general,Unknown,Unknown,6.4361794,100.1949885,0.0
Klinik Choong Wah Perak,clinic,clinic,general,Unknown,Ipoh,4.5909233,101.0856787,0.0
Kedai Ubat Chee Shan,pharmacy,pharmacy,general,Unknown,Ipoh,4.5725306,101.1384369,0.0
Tcm herbalcare enterprise,clinic,clinic,general,Unknown,Unknown,4.57673,101.1248356,0.0
i+ Pharmacy,pharmacy,pharmacy,general,Unknown,Unknown,4.5782043,101.1231773,0.0
Klinik I-Medic,clinic,clinic,general,Unknown,Unknown,4.5770791,101.1237018,0.0
Perniagaan Waikom,pharmacy,pharmacy,general,Unknown,Unknown,4.5766465,101.1239159,0.0
Klinik Pergigian Chong,other,dentist,general,Unknown,Unknown,4.5719476,101.1151171,0.0
Perniagaan Kinta Well Trading,pharmacy,pharmacy,general,Unknown,Unknown,4.5757311,101.1236708,0.0
Klinik Bhajan,clinic,clinic,general,Unknown,Unknown,4.5716881,101.1129813,0.0
Woodlands,pharmacy,pharmacy,general,Unknown,Unknown,3.1204533,101.5988381,0.0
"HOSPITAL PASIR MAS, LATI",hospital,,general,Unknown,Unknown,6.0129717,102.1186083,0.0
Klinik 1 Malaysia,clinic,clinic,general,Unknown,Teluk Intan,3.9943603,101.0052967,0.0
Klinik As-Salam,clinic,clinic,general,Unknown,Unknown,4.6730803,101.0750272,0.0
Wong's TCM Treatment Center,other,alternative,traditional_chinese_medicine,Unknown,Penampang,5.9270535,116.0770923,0.0
Sky Eye Optometry,other,optometrist,general,Unknown,Unknown,5.3321836,100.2761525,0.0
Farmasi Pharmalink Gopeng,pharmacy,pharmacy,general,Unknown,Unknown,4.4731885,101.1657197,0.0
Klinik Kesihatan Sungai Tong,clinic,clinic,general,Unknown,"Sungai Tong, Hulu Nerus",5.3073664,102.9073339,0.0
Klinik 1 Malaysia,clinic,clinic,general,Unknown,Unknown,5.3648418,103.0915106,0.0
Klinik Ikram,clinic,clinic,general,Unknown,Unknown,5.401785,103.0718096,0.0
Klinik Kesihatan Manir,clinic,clinic,general,Unknown,Unknown,5.3215674,103.0813772,0.0
Klinik Pergigian,other,dentist,general,Unknown,Unknown,5.328201,103.1350993,0.0
Klinik Pergigian Tengku Kamil & Fatimah,other,dentist,general,Unknown,Kuala Terengganu,5.3284158,103.1352077,0.0
Klinik Kesihatan Bukit Mentok,clinic,clinic,general,Unknown,Unknown,4.2188651,103.4054326,0.0
Ar-Ridzuan Medical Center,hospital,hospital,general,Unknown,Unknown,4.5878653,101.0914577,0.0
Tabanak Pharmacy Sdn. Bhd.,pharmacy,pharmacy,general,Unknown,Lahad Datu,5.033374,118.3124973,0.0
Guardian,pharmacy,pharmacy,general,Unknown,Unknown,4.6005262,101.0937037,0.0
Klinik Desa Pos Terisu,clinic,clinic,general,Unknown,Cameron Highlands,4.5305892,101.4718863,0.0
Klinik Liau & Cheam,other,doctor,general,Unknown,Cameron Highlands,4.4930505,101.3877376,0.0
Klinik Dr Ooi,clinic,clinic,general,Unknown,Unknown,6.0961476,100.3641319,0.0
Eva Family Clinic,other,doctor,general,Unknown,Unknown,6.1094552,100.3614781,0.0
Clinic Dr. Elaine,clinic,clinic,general,Unknown,Unknown,5.9492384,116.0917792,0.0
Pusat Sejahtera USM,clinic,clinic,general,Unknown,Nibong Tebal,5.1460454,100.4906062,0.0
Klinik Dr Latipah,clinic,,general,Unknown,Unknown,6.2556889,100.6099847,0.0
City Parade Pharmacy,pharmacy,,general,Unknown,Kota Kinabalu,5.9623577,116.0912224,0.0
Petagas Pharmacy,pharmacy,pharmacy,general,Unknown,Unknown,5.914223,116.0505111,0.0
Klinik Rahim Hamzah,clinic,clinic,general,Unknown,Unknown,5.3190331,103.143783,0.0
Klinik Desa Biau,clinic,clinic,paediatrics,Unknown,Unknown,5.7180346,115.9605394,0.0
Klinik Desa Lagud Sebrang,clinic,clinic,general,Unknown,Unknown,5.1689943,115.9898262,0.0
Klinik Desa Nambayan,clinic,clinic,general,Unknown,Unknown,5.6415594,116.3432992,0.0
Klinik Primer Wakaf Bharu,clinic,,general,Unknown,Wakaf Bharu,6.1202889,102.2165215,0.0
Klinik Dr. Aziz,clinic,community,general,Unknown,Unknown,6.121033,102.200573,0.0
Klinik Rusli,clinic,,general,Unknown,Unknown,6.1290362,102.2427915,0.0
HOR CHOON HAW CHIROPRACTIC,other,doctor,general,Unknown,Unknown,5.4119839,100.3187556,0.0
Klinik Pergigian Phoon,other,dentist,general,Unknown,George Town,5.4034343,100.3086662,0.0
Klinik Adra,clinic,,general,Unknown,Unknown,5.8023552,102.5676295,0.0
Klinik Gigi Berkat,other,,general,Unknown,Unknown,5.7377507,102.4956031,0.0
Siang Pharmacy,pharmacy,pharmacy,general,Unknown,Bukit Mertajam,5.3321755,100.4805067,0.0
Poliklinik Ikhsan,clinic,clinic,general,Unknown,Unknown,5.3671527,100.4271073,0.0
Klinik Utama,clinic,clinic,general,Unknown,Unknown,5.3638471,100.444963,0.0
Klinik Ria Dr. Foo,clinic,clinic,general,Unknown,Unknown,5.3639064,100.4449736,0.0
Klinik Lim Siew Kim,clinic,clinic,general,Unknown,Unknown,5.3887686,100.3126818,0.0
Kee Hock Tong,other,alternative,traditional_chinese_medicine,Unknown,Unknown,5.4151243,100.3318489,0.0
Klinik Kesihatan Bukit Garam,hospital,,general,Unknown,Unknown,5.4914859,117.840108,0.0
KKIA Ulu dusun,clinic,clinic,general,Unknown,Unknown,5.7865449,117.7672439,0.0
F.T.S. Chin,other,dentist,general,Unknown,Unknown,5.9925906,116.1123716,0.0
Poliklinik Pinji,clinic,clinic,general,Unknown,Unknown,4.5776616,101.0827441,0.0
Choo Clinic,clinic,clinic,general,Unknown,Ipoh,4.6144936,101.1212892,0.0
Klinik Jannah,clinic,clinic,general,Unknown,Unknown,4.1960836,101.2631849,0.0
Poliklinik Ipoh Jaya,clinic,clinic,general,Unknown,Unknown,4.5758314,101.1239382,0.0
Poliklinik V-Care,clinic,clinic,general,Unknown,Unknown,4.5767475,101.123335,0.0
Klinik Desa Bukit Chupak,clinic,clinic,general,Unknown,Parit,4.4432002,100.9062959,0.0
iDentist,other,dentist,general,Unknown,Unknown,4.6598169,101.1109773,0.0
Mutiara Dialýß,pharmacy,pharmacy,general,Unknown,Unknown,4.2002387,100.6668632,0.0
Klinik Komuniti,other,doctor,general,Unknown,Kuala Kangsar,4.7760997,100.8590894,0.0
Farmasi Auni Medicare,pharmacy,pharmacy,general,Unknown,Unknown,4.6760264,101.0823805,0.0
Guardian,pharmacy,pharmacy,general,Unknown,Kuala Kangsar,4.7715561,100.9418886,0.0
Klinik Pergigian Teh,other,dentist,general,Unknown,Kuala Kangsar,4.7749834,100.9419445,0.0
Klinik Ng & Rakan-rakan,other,doctor,general,Unknown,Kuala Kangsar,4.7748014,100.9419497,0.0
Klinik Uma,other,doctor,general,Unknown,Kuala Kangsar,4.7706267,100.9348654,0.0
Klinik Kuala Kangsar,other,doctor,general,Unknown,Kuala Kangsar,4.7703742,100.9401146,0.0
Limbang Medical Clinic (Dr. Lau & Dr. Ong),clinic,clinic,general,Unknown,Unknown,4.7533567,115.0088566,0.0
Klinik Kesihatan Lenggong,clinic,clinic,general,Unknown,Unknown,5.0965366,100.9647952,0.0
Poliklinik Telupid,clinic,clinic,general,Unknown,Unknown,5.6278012,117.1313723,0.0
Klinik Desa Jelai,clinic,clinic,general,Unknown,Unknown,5.0126091,100.8101433,0.0
Cosway,pharmacy,pharmacy,general,Unknown,Unknown,5.3690537,100.5544233,0.0
Klinik Bersatu,clinic,clinic,general,Unknown,Unknown,5.3698878,100.5547068,0.0
Klinik Dr Chang,clinic,clinic,general,Unknown,Unknown,5.3701199,100.5549306,0.0
Klinik Vigneshwer,clinic,clinic,general,Unknown,Unknown,5.3975364,100.5581309,0.0
Klinik Safiya,clinic,clinic,general,Unknown,Unknown,5.3844789,100.5461176,0.0
farmasi hing,pharmacy,pharmacy,general,Unknown,Unknown,4.2145069,100.6901377,0.0
farmasi sitiawan,pharmacy,pharmacy,general,Unknown,Unknown,4.2155826,100.6910433,0.0
Pathlab,other,laboratory,general,Unknown,Ipoh,4.5980305,101.0837155,0.0
H-Point Pharmacy,pharmacy,pharmacy,general,Unknown,Unknown,4.5973274,101.0852991,0.0
Klinik Nova,clinic,clinic,general,Unknown,Kuala Lumpur,3.2093444,101.66912,0.0
Klinik Desa Dalit,clinic,clinic,general,Unknown,Unknown,5.0206501,116.1236971,0.0
Klinik & Surgeri Noosob,hospital,,general,Unknown,Unknown,5.9280501,116.076792,0.0
Friendly Specialists Clinic Dr Fong Dr Hsu,clinic,clinic,general,Unknown,Unknown,5.9265353,116.0767065,0.0
Klinik Dr. Mustafa,other,doctor,general,Unknown,Unknown,5.9925859,116.112271,0.0
Synergy Specialist Eye Centre,clinic,optometrist,ophthalmology,Unknown,Kota Kinabalu,5.9667774,116.1074381,0.0
Pantai Hospital Ipoh,hospital,hospital,general,Unknown,Unknown,4.6034393,101.1197143,0.0
GreenPharm Pharmacy,pharmacy,pharmacy,general,Unknown,Ipoh,4.5706258,101.1133705,0.0
Klinik 1Malaysia Meru Jaya,clinic,clinic,general,Unknown,Unknown,4.673187,101.0758443,0.0
UTAR Community Counselling Centre (UCCC),other,counselling,general,Unknown,Kampar,4.3380401,101.1369711,0.0
Klinik Dr Alwani,clinic,,general,Unknown,Unknown,5.8949021,102.3306218,0.0
Klinik Pergigian Dr. Fadzli,other,dentist,general,Unknown,Unknown,4.6736023,101.0753182,0.0
Klinik Kesihatan Tanjung Sepat,clinic,clinic,general,Unknown,Unknown,2.6658478,101.5512736,0.0
Klinik Desa Kampung Bandar,clinic,clinic,general,Unknown,Unknown,5.7469232,100.8925045,0.0
Polyklinik Kampar,clinic,clinic,general,Unknown,Unknown,4.3113784,101.1517309,0.0
"Klinik Kesihatan Kg. Perancangan, Ranau",hospital,hospital,general,Unknown,Unknown,6.0731517,116.8005706,0.0
Klinik Dr Fadhil,other,dentist,general,Unknown,Unknown,3.0501404,101.5840698,0.0
Klinik Mediviron,clinic,,general,Unknown,Unknown,1.4801465,103.6570707,0.0
Klinik Pergigian Yap,other,,general,Unknown,Unknown,1.4805125,103.6574958,0.0
Vision Pharmacy,pharmacy,pharmacy,general,Unknown,Miri,4.406852,114.0015037,0.0
Batu Lintang Pharmacy,pharmacy,pharmacy,general,Unknown,Unknown,1.534812,110.3413587,0.0
Specialist Clinic Damai,clinic,clinic,general,Unknown,Unknown,1.5349695,110.3373629,0.0
Wija Pharmacy,pharmacy,pharmacy,general,Unknown,Unknown,1.5550486,110.3230254,0.0
Guardian,pharmacy,pharmacy,general,Unknown,Kuala Lumpur,3.1989064,101.742521,0.0
Be Pharmacy,pharmacy,pharmacy,general,Unknown,Unknown,3.1976938,101.5682403,0.0
Pain Paralysis Physioteraphy Centre,other,rehabilitation,general,Unknown,Unknown,4.671705,101.0773213,0.0
Persatuan Hemodialisis,clinic,dialysis,nephrology,Unknown,Kota Kinabalu,5.9546951,116.0562914,0.0
Allcare Pharmacy,pharmacy,pharmacy,general,Unknown,Shah Alam,3.0746998,101.4856071,0.0
Farmasi Allcare Shah Alam,pharmacy,pharmacy,general,Unknown,Unknown,3.0746718,101.4855205,0.0
Advance Medic Pharmacy (AM),pharmacy,pharmacy,general,Unknown,Miri,4.3079124,113.9927746,0.0
Klinik Bandaran,clinic,clinic,general,Unknown,Unknown,3.0641479,101.5384802,0.0
Sri Rambai Farmasi (Kulim),pharmacy,pharmacy,general,Unknown,Unknown,5.3776027,100.5387348,0.0
Klinik Bumiputera,hospital,hospital,general,Unknown,Unknown,5.8923677,116.0467656,0.0
Farmasi Wawasan,pharmacy,pharmacy,general,Unknown,Unknown,6.4318991,100.4282812,0.0
Poliklinik Perubatan Azani,other,doctor,general,Unknown,Unknown,6.4324671,100.4285639,0.0
Kosmec Pharmacy,pharmacy,pharmacy,general,Unknown,Unknown,1.5539325,110.3580965,0.0
Satok Pharmacy,pharmacy,pharmacy,general,Unknown,Unknown,1.5528659,110.3354933,0.0
Region Pharmacy,pharmacy,pharmacy,general,Unknown,Unknown,1.5528155,110.3363013,0.0
Qaseh Dental,other,dentist,general,Unknown,Bandar Baru Bangi,2.9635957,101.7621324,0.0
Klinik Pergigian Dentabay,other,dentist,general,Unknown,Unknown,2.9640562,101.7647983,0.0
Bekam Hamaz,clinic,clinic,general,Unknown,Unknown,2.964097,101.7647586,0.0
Klinik Pakar Kulit Dahlia,other,doctor,dermatology,Unknown,Unknown,2.9640809,101.7649056,0.0
Klinik Pergigian Musfirah,other,dentist,general,Unknown,Unknown,2.9633406,101.7604183,0.0
Klinik Adam Hawa,clinic,clinic,general,Unknown,Unknown,2.9635516,101.761968,0.0
Farmasi Norifa,pharmacy,,general,Unknown,Unknown,6.1344771,102.2162726,0.0
Klinik Pergigian Marina,other,dentist,general,Unknown,Miri,4.3894601,113.9794756,0.0
Klinik Pergigian Dr Feeliz,other,,general,Unknown,Unknown,2.9477306,101.6188909,0.0
Klinik Amara,clinic,,general,Unknown,Unknown,2.9477246,101.6179293,0.0
Klinik Pergigian Ophelia,other,,general,Unknown,Unknown,2.947681,101.619141,0.0
Hasmin Optometry 4,other,optometrist,general,Unknown,Unknown,5.0217626,118.329068,0.0
Barefoot Reflexology,other,alternative,general,Unknown,Unknown,3.0752996,101.5868353,0.0
Klinik Pergigian Harman,other,dentist,general,Unknown,Petaling Jaya,3.1009008,101.6411435,0.0
Poliklinik Vista,clinic,clinic,general,Unknown,Petaling Jaya,3.1004049,101.6413744,0.0
Klinik Komuniti Gurun,clinic,clinic,general,Unknown,Unknown,5.8197958,100.4778222,0.0
Guardian,pharmacy,pharmacy,general,Unknown,Unknown,1.7303097,103.9017989,0.0
Farmasi Hannah,pharmacy,pharmacy,general,Unknown,Unknown,5.9440891,100.4778462,0.0
Klinik Siti,clinic,clinic,general,Unknown,Ampang,3.1457064,101.7520331,0.0
Klinik Wu Dan Tanglim,other,doctor,general,Unknown,Petaling Jaya,3.0865388,101.648382,0.0
Selcare Pharmacy,pharmacy,pharmacy,general,Unknown,Unknown,2.9211698,101.6357998,0.0
Gilmore House,other,doctor,child_psychiatry,Unknown,Unknown,2.9211496,101.636603,0.0
Orion Clinic,clinic,clinic,general,Unknown,Unknown,2.9211731,101.6359701,0.0
Klinik Pergigian Ng,other,dentist,general,Unknown,Unknown,3.1019257,101.7401392,0.0
Klinik Ho n Ho,clinic,clinic,general,Unknown,Unknown,3.1022427,101.7401903,0.0
Guardian,pharmacy,pharmacy,general,Unknown,Petaling Jaya,3.0867217,101.6474182,0.0
Pharmasi Ihsan,pharmacy,pharmacy,general,Unknown,Unknown,5.7376023,102.4944382,0.0
Watsons,pharmacy,pharmacy,general,Unknown,Unknown,4.6358055,103.4364291,0.0
Farmasi Warisan,pharmacy,pharmacy,general,Unknown,Unknown,5.3419282,103.0908935,0.0
Klinik Pergigian Benchmark,other,dentist,general,Unknown,Unknown,1.5392833,110.3548766,0.0
Klinik Yii,clinic,clinic,general,Unknown,Unknown,1.5439971,110.353913,0.0
Poliklinik Lourdes,clinic,clinic,general,Unknown,Petaling Jaya,3.1010727,101.6410061,0.0
Guardian,pharmacy,pharmacy,general,Unknown,Unknown,5.8362966,102.4080261,0.0
FARMASI EHSAN SDN. BHD,pharmacy,pharmacy,general,Unknown,Pasir Puteh,5.8362806,102.4079406,0.0
Klinik Kesihatan Teng Bukap,hospital,hospital,general,Unknown,Unknown,1.2081197,110.3659384,0.0
Sayang Dialysis,other,doctor,general,Unknown,Unknown,6.2610383,100.419632,0.0
Klinik Pergigian,other,dentist,general,Unknown,Unknown,6.2623011,100.4204876,0.0
MPS Healthcare,pharmacy,pharmacy,general,Unknown,Unknown,6.2390805,100.4201258,0.0
Klinik Gigi Cindy,other,dentist,general,Unknown,Unknown,6.2601612,100.4191715,0.0
Klinik Pergigian Dr. Salmee & Dr. Rusli,other,dentist,general,Unknown,Unknown,6.2587004,100.4195046,0.0
Georgetown Pharmacy,pharmacy,pharmacy,general,Unknown,Unknown,6.254661,100.4194084,0.0
Klinik Iman,clinic,clinic,general,Unknown,Unknown,3.0623121,101.5675912,0.0
Klinik Desa Behrang Stesen,clinic,clinic,general,Unknown,Unknown,3.7444868,101.4500819,0.0
Eyescience Optometrist & Children Vision Centre,other,doctor,optometry,Unknown,Kota Kinabalu,5.9623003,116.0889083,0.0
Klinik Dr Rosli SS19,clinic,clinic,general,Unknown,Unknown,3.0655425,101.577294,0.0
Enlight,other,,general,Unknown,Kota Kinabalu,5.9620816,116.0887474,0.0
Caring Pharmacy,pharmacy,pharmacy,general,Unknown,Unknown,4.5721568,101.1148262,0.0
BIG Pharmacy,pharmacy,pharmacy,general,Unknown,Unknown,4.572202,101.1151531,0.0
Namaste Yoga House Shala;Namaste Physiotherapy Centre,clinic,clinic,physiotherapy,Unknown,Unknown,2.2028047,102.272768,0.0
Carrot Vision Optometrist,other,optometrist,general,Unknown,Unknown,3.1021317,101.740929,0.0
Yan Liong Optometrist,other,optometrist,general,Unknown,Unknown,3.1015014,101.7407281,0.0
Foot Master,other,alternative,reflexology,Unknown,Unknown,3.1014564,101.7407227,0.0
Pusat Pakar Mata Dr. Wong Yiing Cheong,other,optometrist,general,Unknown,Unknown,3.1023436,101.7406398,0.0
BP Healthcare,other,yes,general,Unknown,Unknown,3.1023725,101.7402237,0.0
Klinik Bersatu,clinic,clinic,general,Unknown,Unknown,5.3889975,100.313219,0.0
