X,Y,name,name:en,amenity,building,healthcare,healthcare:speciality,operator:type,capacity:persons,addr:full,addr:city,source,name:ms,osm_id,osm_type
118.0735638,5.8551009,Guardian Bandar Indah,,pharmacy,,pharmacy,,,,,,,,"6176370982",nodes
118.0731291,5.8552176,Klinik Pergigian Dr Chong,,doctors,,doctor,dentist,,,,,,,"6176370984",nodes
118.0775322,5.8553982,Tan Specialist Clinic for Women,,doctors,,doctor,gynaecology,,,,,,,"6172547224",nodes
118.0779688,5.8556763,Lau Kee Oon Specialist Clinic,,doctors,,doctor,surgery,,,,,,,"6172547226",nodes
118.0785077,5.8559887,World Pharmacy,,pharmacy,,pharmacy,,,,,,,,"6172547230",nodes
118.0776158,5.856155,Farmasi Walgreene,,pharmacy,,pharmacy,,,,,,,,"6172547239",nodes
101.5472311,3.0785403,Klinik Dr Bazilah,,clinic,,clinic,"dermatology;general",,,,,,,"8663780117",nodes
118.0738371,5.8580864,Klinik Dr Agnes Lim,,doctors,,doctor,general,,,,,,,"6169968134",nodes
101.6441046,3.2180881,Klinik Medipulse Kepong,,clinic,,clinic,,,,,,,Klinik Medipulse Kepong,"7317774154",nodes
101.6412441,3.2205957,United Health Clinic,United Health Clinic,clinic,,clinic,,,,,,https://kartaview.org/details/2737138/565/track-info,,"7317774153",nodes
102.7844333,2.3625188,Klinik Kesihatan Bukit Serampang,,clinic,,clinic,,government,,,,,Klinik Kesihatan Bukit Serampang,"303182662",nodes
101.6469666,3.04924,Klinik Mediviron,,clinic,,clinic,,,,,Puchong,,Klinik Mediviron,"4707456601",nodes
118.0760983,5.8529526,Berkat Physiotherapy,,,,physiotherapist,physiotherapy,,,,,,,"6176476621",nodes
118.0726566,5.854784,Makmal Pathlab,,,,laboratory,,,,,,,,"6176370990",nodes
100.3999108,5.3970052,Big Pharmacy,,pharmacy,,pharmacy,,,,,Seberang Jaya,,,"12060325354",nodes
100.3998276,5.396366,Pusat Pakar Perubatan Anwar,,clinic,,clinic,,,,,,,,"12285665665",nodes
100.3999272,5.3970928,ALPRO Pharmacy Sunway Perdana,,pharmacy,,pharmacy,,,,,Seberang Jaya,,,"12060334680",nodes
117.8506346,5.5846641,Hospital Kota Kinabatangan,,hospital,,,,,,,,,,"6147237286",nodes
102.0528882,4.1888433,Farmasi Pahang,Pahang Pharmacy,pharmacy,,pharmacy,,,,,,,Farmasi Pahang,"6604180685",nodes
101.3847676,4.4146507,Klinik Edina,,doctors,,doctor,,,,,Cameron Highlands,,Klinik Edina,"4674753736",nodes
102.2304706,2.4628037,Klinik Tampin,Tampin Clinic,clinic,,clinic,,,,,,https://openstreetcam.org/details/2326962/2259/track-info,Klinik Tampin,"7802951217",nodes
101.9381489,2.7268865,Farmasi Alpro,,pharmacy,,pharmacy,,,,,,,,"10255816087",nodes
100.3116101,5.4320421,Klinik Koay,,clinic,,clinic,,,,,,,,"9472075290",nodes
100.4267831,5.0880915,Klinik Desa Parit Haji Wahab,,clinic,,clinic,,government,,,,,,"12422703470",nodes
102.9293531,1.8525195,Klinik Kee,,clinic,,clinic,,,,,,,,"12537874908",nodes
101.6872093,3.090961,Klinik Famili Soo,,clinic,,clinic,general,,,,Kuala Lumpur,,,"4705755159",nodes
102.5658651,2.044384,Tey Specialist Maternity & Gynae,,doctors,,doctor,,,,,,,,"6572413684",nodes
102.5640848,2.0447204,Klinik Pakar Ortodontik Muar,,clinic,,clinic,orthodontics,government,,,,,,"8370639208",nodes
101.6164338,3.0224633,Watsons,,pharmacy,,pharmacy,,,,,,,,"11158356656",nodes
114.0378173,4.4498498,Guardian,,pharmacy,,pharmacy,,,,,Miri,,,"11539179369",nodes
101.9202718,2.7159011,ROPHEKA(M) SDN. BHD. Myhighst,,,,psychotherapist,,,,,Seremban,,,"9777969327",nodes
101.6998563,3.1729603,Kompleks Dewan Bedah (IUN),,hospital,,hospital,,government,,,Kuala Lumpur,,Kompleks Dewan Bedah (IUN),"5993435846",nodes
101.6991407,3.17061,Komples Rawatan & Rawatan Harian (SCACC),,hospital,,hospital,,government,,,,,Komples Rawatan & Rawatan Harian (SCACC),"6113367174",nodes
100.3281207,5.3977234,Northern Care Clinic,,clinic,,clinic,,,,,,https://www.mapillary.com/app/?pKey=UioPexYbnqzsTh2cdy2IOQ&focus=photo,,"4210864590",nodes
100.3288378,5.3986364,Klinik Sri Pinang dan Surgeri,,clinic,,clinic,,,,,,https://www.mapillary.com/app/?pKey=XNgAWmoSJiZsh32o20GTuI&focus=photo,,"6604160785",nodes
102.3718345,4.1675855,Klinik Desa Kampung Labu,,clinic,,clinic,,,,,,,,"9810551649",nodes
101.6835519,3.1302379,Farmasi Health Point,,pharmacy,,pharmacy,,,,,Kuala Lumpur,,Farmasi Health Point,"1822560064",nodes
101.960455,4.0132713,Benta Health Clinic,Benta Health Clinic,clinic,,clinic,,,,,,,,"9808393614",nodes
103.6803399,1.518417,Pusat Perubatan Tradisional Cina Nature Concept TCM Healthcare,,doctors,,,,,,,,,,"7555547033",nodes
102.3661737,3.7684264,Klinik Desa Kuala Mai,,clinic,,clinic,,,,,,,,"7296201063",nodes
102.2694193,6.1507306,Poliklinik Maya 24 Jam,,clinic,,clinic,general,,,,,,,"11921552633",nodes
101.6709807,3.1310416,Bangsar Dental Specialist Center,,dentist,,dentist,,,,,,,,"7249576986",nodes
101.6710502,3.1324295,ProCare (Bangsar) Dental Surgery,,dentist,,dentist,,,,,,,,"7250130085",nodes
102.6455409,2.129118,Klinik Desa Jorak,,hospital,,,,,,,,,,"274829066",nodes
101.4282599,3.0285805,Jaspal Clinic,,clinic,,clinic,,,,,,,,"4269778697",nodes
101.6705669,3.1318075,Poliklinik Bangsar,,doctors,,doctor,,,,,,,,"7249557986",nodes
101.6705641,3.1316897,Urban Smile Dental Clinic,,dentist,,dentist,,,,,,,,"7249570086",nodes
100.3114528,5.4317425,Betterlife Pharmacy,,pharmacy,,pharmacy,,,,,,,,"9801595053",nodes
100.3101844,5.4327057,Wellings Pharmacy,,pharmacy,,pharmacy,,,,,,,,"1691647722",nodes
101.6456923,3.0989029,Wellcome Pharmacy,,pharmacy,,pharmacy,,,,,Petaling Jaya,,,"1541931632",nodes
100.3112072,5.4323121,Chan May May Optometrist,,,,optometrist,,,,,,,,"9801595049",nodes
101.7047916,2.8969773,Farmasi Ich Liebe Dich,,pharmacy,,,,,,,Kajang,,,"4894231480",nodes
110.3481989,1.5022014,Klinik Pergigian Life Dental,,dentist,,dentist,,,,,,,,"12284993303",nodes
110.348202,1.5012646,Tan Specialist Child & Family Clinic,,clinic,,clinic,,,,,,,,"12284972697",nodes
100.311076,5.4323793,Luke Klinik,,clinic,,clinic,,,,,,,,"9472075259",nodes
100.3105922,5.4320592,Goh Dental,,dentist,,dentist,"implantology;orthodontics",,,,,,,"9801595041",nodes
100.3111167,5.4317691,BIG Pharmacy,,pharmacy,,pharmacy,,,,,,,,"9472075246",nodes
101.9656168,4.0170087,Kien San Trading,Kien San Trading,pharmacy,,pharmacy,,,,,Benta,,,"9809114495",nodes
110.302293,1.4951766,Wee Care Pharmacy,,pharmacy,,pharmacy,,,,,,,,"12284691664",nodes
100.3127054,5.4301386,Prestige Orthodontic (Braces) Clinic,,dentist,,dentist,orthodontics,,,,,,,"9796039230",nodes
100.3128541,5.4300103,Penang Dental Surgery,,dentist,,dentist,,,,,,,,"9796039232",nodes
101.8017959,2.5238651,Alpro,,pharmacy,,pharmacy,,,,,Port Dickson,,,"4859539437",nodes
101.7962059,2.523258,Klinik Pergigian Lim,Lim Dental Surgery,dentist,,dentist,,,,,Port Dickson,,,"4861632592",nodes
101.7962529,2.5222857,Ang Kelinik,,doctors,,doctor,,,,,Port Dickson,,,"4861632601",nodes
101.7962273,2.5244102,Klinik Asia,,doctors,,doctor,,,,,Port Dickson,,,"4861632629",nodes
101.6713954,3.1327538,PATHLAB Laboratory,,,,laboratory,,,,,,,,"8335670005",nodes
100.3125801,5.4305732,Kedai Ubat Ban San Hoe,,,,alternative,traditional_chinese_medicine,,,,,,,"9794841133",nodes
101.7793592,2.9651731,Pusat Pakar Mata Bangi,,,,optometrist,,,,,Bandar Baru Bangi,,,"12240441321",nodes
114.0128354,4.4154491,Guardian,,pharmacy,,pharmacy,,,,,Miri,,,"12281574801",nodes
101.6562985,2.8007147,U.n.i. Farmasi,,pharmacy,,pharmacy,,,,,,,,"12651142829",nodes
100.7421532,4.8526707,Guardian,,pharmacy,,pharmacy,,,,,,,,"6792232912",nodes
115.7405925,5.3509606,Hospital Beaufort,Beaufort Hospital,hospital,,hospital,,government,,,,,Hospital Beaufort,"1631259169",nodes
115.7405903,5.3509697,,,hospital,,hospital,,,,,,,,"12280477499",nodes
101.9117923,2.6986028,Multicare Pharmacy,,pharmacy,,pharmacy,,,,,Seremban,,,"4955399912",nodes
101.1284974,4.5775021,i-Health Pharmacy Sdn. Bhd.,,pharmacy,,pharmacy,,,,,,,,"8276891545",nodes
101.1275591,4.5787558,Poliklinik Taqwa,,clinic,,clinic,,,,,,,,"8276891543",nodes
101.1275605,4.5791577,Poliklinik Ar-Ridzuan,,clinic,,clinic,,,,,,,,"8276891544",nodes
101.1303701,4.5774851,Poliklinik Teoh & Ding,,clinic,,clinic,,,,,,,,"8276891547",nodes
101.1313909,4.5775052,Mediklinik Keluarga,,clinic,,clinic,,,,,,,,"8276891550",nodes
102.8673381,1.9099433,Klinik Desa Separap,,doctors,,doctor,,,,,,,,"341292181",nodes
102.7671097,1.8918785,Klinik Desa Sarang Buaya,,clinic,,clinic,,government,,,,https://www.mapillary.com/app/?pKey=6JhGbK2YvHjnpMYwM9B40i&focus=photo,,"6038600188",nodes
100.1904707,6.4398406,Klinik Kesihatan Kangar,,clinic,,clinic,,,,,,,,"9779695040",nodes
100.1949885,6.4361794,Georgetown Pharmacy,,pharmacy,,pharmacy,,,,,,,,"9779695113",nodes
101.0856787,4.5909233,Klinik Choong Wah Perak,Perak Choong Wah Clinic,clinic,,clinic,,,,,Ipoh,https://openstreetcam.org/details/2291394/7,,"7673357232",nodes
101.1384369,4.5725306,Kedai Ubat Chee Shan,,pharmacy,,pharmacy,,,,,Ipoh,,,"8282764393",nodes
101.1248356,4.57673,Tcm herbalcare enterprise,,clinic,,clinic,,,,,,,,"6807222085",nodes
101.1231773,4.5782043,i+ Pharmacy,,pharmacy,,pharmacy,,,,,,,,"8276978221",nodes
101.1237018,4.5770791,Klinik I-Medic,,clinic,,clinic,,,,,,,,"8276978223",nodes
101.1239159,4.5766465,Perniagaan Waikom,,pharmacy,,pharmacy,,,,,,,,"8276978224",nodes
101.1151171,4.5719476,Klinik Pergigian Chong,,dentist,,dentist,,,,,,,,"8276978229",nodes
101.1236708,4.5757311,Perniagaan Kinta Well Trading,,pharmacy,,pharmacy,,,,,,,,"8276978219",nodes
101.1129813,4.5716881,Klinik Bhajan,,clinic,,clinic,,,,,,,,"8276978232",nodes
101.5988381,3.1204533,Woodlands,,pharmacy,,pharmacy,,,,,,,,"7661265064",nodes
102.1186083,6.0129717,"HOSPITAL PASIR MAS, LATI","HOSPITAL PASIR MAS, LATI",hospital,,,,,,,,,,"4511513789",nodes
101.0052967,3.9943603,Klinik 1 Malaysia,,clinic,,clinic,,,,,Teluk Intan,,,"5360041888",nodes
101.0750272,4.6730803,Klinik As-Salam,,clinic,,clinic,,,,,,,,"7726774797",nodes
116.0770923,5.9270535,Wong's TCM Treatment Center,,,,alternative,traditional_chinese_medicine,,,,Penampang,,,"2483240638",nodes
100.2761525,5.3321836,Sky Eye Optometry,,,,optometrist,,,,,,,,"10698603747",nodes
101.1652878,4.4727072,,,pharmacy,,pharmacy,,,,,,,,"8066541654",nodes
101.1657197,4.4731885,Farmasi Pharmalink Gopeng,Farmasi Pharmalink Gopeng,pharmacy,,pharmacy,,,,,,Openstreetcam,,"4584745290",nodes
102.9073339,5.3073664,Klinik Kesihatan Sungai Tong,,clinic,,clinic,,,,,"Sungai Tong, Hulu Nerus",,,"6071055738",nodes
103.0915106,5.3648418,Klinik 1 Malaysia,,clinic,,clinic,,,,,,,,"4947800025",nodes
103.0918931,5.3461871,,,dentist,,dentist,,,,,,,,"4101504634",nodes
103.0718096,5.401785,Klinik Ikram,,clinic,,clinic,,,,,,,,"7232914304",nodes
103.0813772,5.3215674,Klinik Kesihatan Manir,,clinic,,clinic,,,,,,,,"7172066869",nodes
103.0821004,5.308717,,,clinic,,clinic,,,,,,,,"3903969212",nodes
103.1350993,5.328201,Klinik Pergigian,,dentist,,dentist,,,,,,,,"6761087067",nodes
103.1352077,5.3284158,Klinik Pergigian Tengku Kamil & Fatimah,,dentist,,dentist,,,,,Kuala Terengganu,,,"3224343806",nodes
103.4054326,4.2188651,Klinik Kesihatan Bukit Mentok,,clinic,,clinic,,,,,,,,"6631813628",nodes
101.0914577,4.5878653,Ar-Ridzuan Medical Center,,hospital,,hospital,,,,,,,,"2869691950",nodes
118.3124973,5.033374,Tabanak Pharmacy Sdn. Bhd.,,pharmacy,,pharmacy,,,,,Lahad Datu,,,"11050218714",nodes
118.6132778,4.4794477,,,pharmacy,,pharmacy,,,,,,,,"5469168921",nodes
101.0937037,4.6005262,Guardian,,pharmacy,,pharmacy,,,,,,,,"8263618877",nodes
101.4718863,4.5305892,Klinik Desa Pos Terisu,,clinic,,clinic,,,,,Cameron Highlands,,,"4676156468",nodes
101.3877376,4.4930505,Klinik Liau & Cheam,,doctors,,doctor,,,,,Cameron Highlands,,,"4676993627",nodes
100.3641319,6.0961476,Klinik Dr Ooi,,clinic,,clinic,,,,,,,,"4331206707",nodes
100.3614781,6.1094552,Eva Family Clinic,,doctors,,doctor,,,,,,,,"8848633264",nodes
116.0917792,5.9492384,Clinic Dr. Elaine,,clinic,,clinic,,,,,,,,"2453847143",nodes
100.4906062,5.1460454,Pusat Sejahtera USM,,clinic,,clinic,,,,,Nibong Tebal,,,"7491057619",nodes
100.6099847,6.2556889,Klinik Dr Latipah,,clinic,,,,,,,,,,"9394677996",nodes
116.0713385,5.9777799,,,pharmacy,,pharmacy,,,,,,,,"2475220991",nodes
116.0912224,5.9623577,City Parade Pharmacy,,pharmacy,,,,,,,Kota Kinabalu,,,"10313890000",nodes
118.2869814,5.5104,,,hospital,,,,,,,,,,"4746303827",nodes
116.0505111,5.914223,Petagas Pharmacy,,pharmacy,,pharmacy,,,,,,,,"2341517375",nodes
103.143783,5.3190331,Klinik Rahim Hamzah,,clinic,,clinic,,,,,,,,"6761087061",nodes
115.9605394,5.7180346,Klinik Desa Biau,,clinic,,clinic,paediatrics,,,,,,,"10943188149",nodes
115.9898262,5.1689943,Klinik Desa Lagud Sebrang,,clinic,,clinic,,,,,,,,"5245285822",nodes
116.3432992,5.6415594,Klinik Desa Nambayan,,clinic,,clinic,,,,,,,,"9813542668",nodes
102.2165215,6.1202889,Klinik Primer Wakaf Bharu,,clinic,,,,,,,Wakaf Bharu,,,"8985427514",nodes
102.200573,6.121033,Klinik Dr. Aziz,,clinic,,community,,,,,,,,"8836640328",nodes
102.2427915,6.1290362,Klinik Rusli,,clinic,,,,,,,,,,"10208990564",nodes
100.3187556,5.4119839,HOR CHOON HAW CHIROPRACTIC,HOR CHOON HAW CHIROPRACTIC,doctors,,doctor,,,,,,,,"4804932821",nodes
100.3086662,5.4034343,Klinik Pergigian Phoon,Phoon Dental Surgery,dentist,,dentist,,,,,George Town,,,"9848448675",nodes
102.5676295,5.8023552,Klinik Adra,,clinic,,,,,,,,,,"10963823887",nodes
102.4956031,5.7377507,Klinik Gigi Berkat,,dentist,,,,,,,,,,"10764045511",nodes
100.4805067,5.3321755,Siang Pharmacy,,pharmacy,,pharmacy,,,,,Bukit Mertajam,https://www.mapillary.com/app/?pKey=06n9YxcGo9hbhuHcx5mWKo&focus=photo,,"7728876262",nodes
100.4271073,5.3671527,Poliklinik Ikhsan,,clinic,,clinic,,,,,,https://www.mapillary.com/app/?pKey=QDBuy09anPzJCtgbS4HmGE&focus=photo,,"4618661468",nodes
100.444963,5.3638471,Klinik Utama,,clinic,,clinic,,,,,,,,"6562886852",nodes
100.4449736,5.3639064,Klinik Ria Dr. Foo,,clinic,,clinic,,,,,,,,"6562910403",nodes
100.3126818,5.3887686,Klinik Lim Siew Kim,,clinic,,clinic,,,,,,,,"9459869389",nodes
100.3318489,5.4151243,Kee Hock Tong,,,,alternative,traditional_chinese_medicine,,,,,,,"11165398450",nodes
117.840108,5.4914859,Klinik Kesihatan Bukit Garam,,hospital,,,,,,,,,,"6147237287",nodes
117.7672439,5.7865449,KKIA Ulu dusun,,clinic,,clinic,,,,,,,,"5041119221",nodes
118.0527819,5.8619867,,,doctors,,,,,,,,,,"6711407385",nodes
116.1123716,5.9925906,F.T.S. Chin,,dentist,,dentist,,,,,,,,"5966309793",nodes
101.0827441,4.5776616,Poliklinik Pinji,,clinic,,clinic,,,,,,,,"9529243966",nodes
101.1212892,4.6144936,Choo Clinic,,clinic,,clinic,,,,,Ipoh,,,"7286346050",nodes
101.2631849,4.1960836,Klinik Jannah,,clinic,,clinic,,,,,,,Klinik Jannah,"10931199603",nodes
101.1239382,4.5758314,Poliklinik Ipoh Jaya,,clinic,,clinic,,,,,,,,"8276978218",nodes
101.123335,4.5767475,Poliklinik V-Care,,clinic,,clinic,,,,,,,,"8276978220",nodes
100.9062959,4.4432002,Klinik Desa Bukit Chupak,,clinic,,clinic,,,,,Parit,,,"4588824197",nodes
101.1109773,4.6598169,iDentist,,dentist,,dentist,,,,,,,,"6688030185",nodes
100.6668632,4.2002387,Mutiara Dialýß,Mutiara Dialýsis,pharmacy,,pharmacy,,,,,,,,"8353914331",nodes
100.8590894,4.7760997,Klinik Komuniti,,doctors,,doctor,,,,,Kuala Kangsar,,,"5025008007",nodes
101.0583077,4.5989616,,,pharmacy,,pharmacy,,,,,,,,"4957865521",nodes
101.0823805,4.6760264,Farmasi Auni Medicare,,pharmacy,,pharmacy,,,,,,,,"8219415119",nodes
100.9418886,4.7715561,Guardian,,pharmacy,,pharmacy,,,,,Kuala Kangsar,,,"4585394944",nodes
100.9419445,4.7749834,Klinik Pergigian Teh,Teh Dental Surgery,dentist,,dentist,,,,,Kuala Kangsar,,,"5029346335",nodes
100.9419497,4.7748014,Klinik Ng & Rakan-rakan,,doctors,,doctor,,,,,Kuala Kangsar,,,"5029346334",nodes
100.9348654,4.7706267,Klinik Uma,,doctors,,doctor,,,,,Kuala Kangsar,,,"5029346522",nodes
100.9401146,4.7703742,Klinik Kuala Kangsar,,doctors,,doctor,,,,,Kuala Kangsar,,,"5027102122",nodes
115.0088566,4.7533567,Limbang Medical Clinic (Dr. Lau & Dr. Ong),,clinic,,clinic,,,,,,,,"2697135498",nodes
100.9647952,5.0965366,Klinik Kesihatan Lenggong,,clinic,,clinic,,,,,,,,"6068977071",nodes
117.1313723,5.6278012,Poliklinik Telupid,Poliklinik Telupid,clinic,,clinic,,,,,,,,"5083385424",nodes
100.8101433,5.0126091,Klinik Desa Jelai,,clinic,,clinic,,,,,,,,"9969830359",nodes
100.5544233,5.3690537,Cosway,,pharmacy,,pharmacy,,,,,,,,"4674080030",nodes
100.5547068,5.3698878,Klinik Bersatu,,clinic,,clinic,,,,,,,,"4674080008",nodes
100.5549306,5.3701199,Klinik Dr Chang,,clinic,,clinic,,,,,,,,"4674080004",nodes
100.5581309,5.3975364,Klinik Vigneshwer,,clinic,,clinic,,,,,,,,"4957823516",nodes
100.5461176,5.3844789,Klinik Safiya,,clinic,,clinic,,,,,,,,"4665596204",nodes
100.6901377,4.2145069,farmasi hing,,pharmacy,,pharmacy,,,,,,,,"6165087085",nodes
100.6910433,4.2155826,farmasi sitiawan,,pharmacy,,pharmacy,,,,,,,,"6165084488",nodes
101.0782606,4.5957204,,,pharmacy,,pharmacy,,,,,,,,"6499486886",nodes
101.0837155,4.5980305,Pathlab,,,,laboratory,,,,,Ipoh,,,"8581485365",nodes
101.0852991,4.5973274,H-Point Pharmacy,H-Point Pharmacy,pharmacy,,pharmacy,,,,,,,,"4981383626",nodes
101.66912,3.2093444,Klinik Nova,,clinic,,clinic,general,,,,Kuala Lumpur,,Klinik Nova,"9929188644",nodes
116.1236971,5.0206501,Klinik Desa Dalit,,clinic,,clinic,,,,,,,,"7886180589",nodes
116.076792,5.9280501,Klinik & Surgeri Noosob,,hospital,,,,,,,,,,"2467227891",nodes
116.0767065,5.9265353,Friendly Specialists Clinic Dr Fong Dr Hsu,,clinic,,clinic,,,,,,,,"2483137697",nodes
116.112271,5.9925859,Klinik Dr. Mustafa,,doctors,,doctor,,,,,,,,"5966309791",nodes
116.1074381,5.9667774,Synergy Specialist Eye Centre,,clinic,,optometrist,ophthalmology,,,,Kota Kinabalu,,,"10160208077",nodes
101.1197143,4.6034393,Pantai Hospital Ipoh,,hospital,,hospital,,,,,,,,"2906645453",nodes
101.1133705,4.5706258,GreenPharm Pharmacy,,pharmacy,,pharmacy,,,,,Ipoh,,,"9135751594",nodes
101.0758443,4.673187,Klinik 1Malaysia Meru Jaya,,clinic,,clinic,,,,,,,,"2868251626",nodes
103.0925491,5.3468229,,,dentist,,dentist,,,,,,,,"3659753021",nodes
116.0750113,5.9785795,,,pharmacy,,pharmacy,,,,,,,,"5175679422",nodes
101.1369711,4.3380401,UTAR Community Counselling Centre (UCCC),UTAR Community Counselling Centre (UCCC),,,counselling,general,private,,,Kampar,,,"9796166765",nodes
102.3306218,5.8949021,Klinik Dr Alwani,,clinic,,,,,,,,,,"8938669842",nodes
101.0753182,4.6736023,Klinik Pergigian Dr. Fadzli,,dentist,,dentist,,,,,,,,"7726774795",nodes
101.5512736,2.6658478,Klinik Kesihatan Tanjung Sepat,,clinic,,clinic,,,,,,,,"3617375393",nodes
100.8925045,5.7469232,Klinik Desa Kampung Bandar,,clinic,,clinic,,,,,,,,"6465901783",nodes
101.1517309,4.3113784,Polyklinik Kampar,,clinic,,clinic,,,,,,,Polyklinik Kampar,"4936603881",nodes
116.8005706,6.0731517,"Klinik Kesihatan Kg. Perancangan, Ranau",,hospital,,hospital,,,,,,,,"9861577510",nodes
101.5840698,3.0501404,Klinik Dr Fadhil,,dentist,,dentist,,,,,,,,"8263096410",nodes
103.6570707,1.4801465,Klinik Mediviron,,clinic,,,,,,,,,,"10605293589",nodes
103.6574958,1.4805125,Klinik Pergigian Yap,Yap Dental Clinic,dentist,,,,,,,,,Klinik Pergigian Yap,"10605293596",nodes
114.0015037,4.406852,Vision Pharmacy,,pharmacy,,pharmacy,,,,,Miri,,,"11500247851",nodes
110.3413587,1.534812,Batu Lintang Pharmacy,,pharmacy,,pharmacy,,,,,,,,"7884521744",nodes
110.3373629,1.5349695,Specialist Clinic Damai,,clinic,,clinic,,,,,,,,"7885813556",nodes
110.3230254,1.5550486,Wija Pharmacy,,pharmacy,,pharmacy,,,,,,,,"7886379497",nodes
101.742521,3.1989064,Guardian,,pharmacy,,pharmacy,,,,,Kuala Lumpur,,,"4961945799",nodes
101.5682403,3.1976938,Be Pharmacy,,pharmacy,,pharmacy,,,,,,,,"8259009541",nodes
101.0773213,4.671705,Pain Paralysis Physioteraphy Centre,,,,rehabilitation,,,,,,,,"7725980895",nodes
116.0562914,5.9546951,Persatuan Hemodialisis,,clinic,,dialysis,nephrology,,,,Kota Kinabalu,,,"9859927975",nodes
101.4856071,3.0746998,Allcare Pharmacy,,pharmacy,,pharmacy,,,,,Shah Alam,,Farmasi Allcare,"4270007700",nodes
101.4855205,3.0746718,Farmasi Allcare Shah Alam,,pharmacy,,pharmacy,,,,,,,,"4317771091",nodes
113.9927746,4.3079124,Advance Medic Pharmacy (AM),,pharmacy,,pharmacy,,,,,Miri,,,"11546116759",nodes
101.5384802,3.0641479,Klinik Bandaran,,clinic,,clinic,,,,,,,Klinik Bandaran,"299415528",nodes
100.5387348,5.3776027,Sri Rambai Farmasi (Kulim),,pharmacy,,pharmacy,,,,,,local knowledge,,"9571403265",nodes
100.4300107,6.4360368,,,pharmacy,,pharmacy,,,,,,,,"6531587485",nodes
116.0467656,5.8923677,Klinik Bumiputera,,hospital,,hospital,,,,,,,,"2509028121",nodes
100.4282812,6.4318991,Farmasi Wawasan,,pharmacy,,pharmacy,,,,,,,,"4294346750",nodes
100.4285639,6.4324671,Poliklinik Perubatan Azani,,doctors,,doctor,,,,,,,,"3929296727",nodes
110.3580965,1.5539325,Kosmec Pharmacy,,pharmacy,,pharmacy,,,,,,,,"5168210325",nodes
110.3354933,1.5528659,Satok Pharmacy,,pharmacy,,pharmacy,,,,,,,,"5171237725",nodes
110.3363013,1.5528155,Region Pharmacy,,pharmacy,,pharmacy,,,,,,,,"5171246424",nodes
101.7621324,2.9635957,Qaseh Dental,,dentist,,dentist,,,,,Bandar Baru Bangi,,,"4758393817",nodes
101.7647983,2.9640562,Klinik Pergigian Dentabay,,dentist,,dentist,,,,,,,,"12270030315",nodes
101.7647586,2.964097,Bekam Hamaz,,clinic,,clinic,,,,,,,,"12270030317",nodes
101.7649056,2.9640809,Klinik Pakar Kulit Dahlia,,doctors,,doctor,dermatology,,,,,,,"12270030318",nodes
101.7604183,2.9633406,Klinik Pergigian Musfirah,Musfirah Dental Clinic,dentist,,dentist,,,,,,,,"12243540290",nodes
